;TIME;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
OECD Americas;Memo: Primary and secondary oil;..;..;..;..;..;..;..;..;..;..;..;2494071;2553637;2336330;2147035;1979572;2293882;2275295;2164482;1858970;1604243;1387720;1361872;1422625;1439043;1364401;1298192;1337662;1319945;1224442;961294;880343;898759;882922;862747;811143;822786;762771;716911;697191;845696;862835;846116;923140;953951;872385;789872;770975;727411;804231;795212;712150;613477;603748;564990;642092;713368;627899;619857;627429;..
OECD Americas;Memo: Geothermal, solar/wind/other, heat, electricity;..;..;..;..;..;..;..;..;..;..;..;1432901;1534964;1740179;1822262;1926342;2035620;2138285;2198354;2256470;2318260;2463153;2522870;2644807;2787292;2911640;3049529;3189144;3289709;3467134;3560922;3618434;3597285;3740030;3869481;4026679;4133346;4319075;4452606;4599072;4797774;4923154;4971652;4965476;5080101;5186365;5306580;5464612;5465785;5365105;5530257;5541699;5526583;5595794;5658627;5701282;5701020;5703812;5808087;5790999;..
OECD Asia Oceania;Coal and coal products;..;..;..;..;..;..;..;..;..;..;..;44925;47485;45759;54428;65701;49552;48047;42883;45637;46489;47385;87816;83805;85929;86744;76557;67697;77909;67429;9218;7634;6804;6685;6417;6006;5400;5063;4296;3750;3759;5099;5128;6347;4946;5262;4586;6005;11828;12423;12149;11343;9343;9801;9085;9275;8399;8808;5619;5615;..
OECD Asia Oceania;Peat and peat products;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..
OECD Asia Oceania;Oil shale and oil sands;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..
OECD Asia Oceania;Crude, NGL and feedstocks;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..
OECD Asia Oceania;Oil products;..;..;..;..;..;..;..;..;..;..;..;585894;642188;722614;708149;706183;726318;733136;778239;757060;716445;760168;693299;697387;711371;671228;712559;712464;818489;850075;1134069;1189509;1291317;1406588;1411494;1516712;1501730;1544410;1390113;1496847;1349123;1324636;1333067;1289883;1226456;1197534;1017185;900260;823839;732980;716861;694224;649494;710979;667294;634416;611010;586836;638420;563991;..
OECD Asia Oceania;Natural gas;..;..;..;..;..;..;..;..;..;..;..;12463;16471;24836;25654;25381;30015;33974;42119;46532;47295;51208;68006;78024;96586;97592;107543;113857;119108;131666;105747;120885;131288;157086;176123;196591;211742;243769;270513;297951;328021;341878;332449;339643;401699;434733;538593;599262;578201;549135;554324;557929;542510;590505;579436;606585;578861;621592;601719;598166;..
OECD Asia Oceania;Nuclear;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..
OECD Asia Oceania;Hydro;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..
OECD Asia Oceania;Geothermal;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4263;4933;4975;4849;5352;7361;8239;8406;8029;7946;7652;4378;5494;5502;5535;5586;5461;5297;5120;5499;5574;6042;6762;7456;7792;8361;9211;9697;10585;11076;..
OECD Asia Oceania;Solar/wind/other;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2615;2656;2685;2696;2690;2632;2449;2162;1861;1530;1268;1239;1123;1083;1092;1130;1124;1113;1159;1277;1430;1540;1658;1687;1881;1869;1874;2113;2175;2157;..
OECD Asia Oceania;Biofuels and waste;..;..;..;..;..;..;..;..;..;..;..;0;0;0;1205;1101;1059;1055;1071;1105;962;1021;1029;1017;828;774;33;33;33;49;7777;8145;7757;7627;7559;7413;9049;10565;10227;11907;11327;13762;46642;48481;57097;58448;64017;74115;71796;75102;79348;87699;91202;94520;115544;124820;98441;102937;103216;99733;..
OECD Asia Oceania;Heat production from non-specified combustible fuels;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..
OECD Asia Oceania;Electricity;..;..;..;..;..;..;..;..;..;..;..;122069;141883;157568;174132;195325;211003;234734;249030;265280;284303;308095;439888;481921;513202;546541;568696;622033;664628;721588;695855;762802;815910;879466;989420;1065924;1133447;1198184;1286946;1357794;1479832;1509983;1613899;1655112;1750398;1827737;1878361;1986351;2019673;2006459;2055512;2044570;2026286;2037360;2030430;2025234;2084199;2101948;2086672;2079606;..
OECD Asia Oceania;Heat;..;..;..;..;..;..;..;..;..;..;..;0;724;1160;1867;2361;2864;3117;3638;3936;4270;4466;4519;5052;5458;5776;5892;6379;6460;7192;7077;8460;9385;10510;13853;15557;17252;19297;20904;23911;25367;26190;27992;27672;30550;32219;30485;32125;33454;29757;32995;31675;32213;33561;33762;30393;32205;33954;35753;35005;..
OECD Asia Oceania;Total;..;..;..;..;..;..;..;..;..;..;..;765351;848752;951938;965435;996051;1020811;1054063;1116981;1119550;1099765;1172344;1294557;1347206;1413373;1408655;1471280;1522464;1686627;1777998;1966621;2105024;2270121;2475508;2612908;2818194;2889307;3031855;2992888;3201636;3206350;3227166;3365794;3373723;3477772;3562650;3539811;3604528;3545069;3412632;3458194;3435023;3359468;3485871;3445223;3440953;3424201;3467885;3484159;3395349;..
OECD Asia Oceania;Memo: Renewables;..;..;..;..;..;..;..;..;..;..;..;0;0;0;1205;1101;1059;1055;1071;1105;962;1021;1029;1017;828;774;33;33;33;49;14092;15032;14660;14331;14707;16311;18015;18971;17906;18737;17966;16108;32031;34606;43059;47405;52517;61288;55501;58552;56303;58139;60244;65313;103840;107359;80142;83838;84851;83530;..
OECD Asia Oceania;Memo: Coal, peat and oil shale;..;..;..;..;..;..;..;..;..;..;..;44925;47485;45759;54428;65701;49552;48047;42883;45637;46489;47385;87816;83805;85929;86744;76557;67697;77909;67429;9218;7634;6804;6685;6417;6006;5400;5063;4296;3750;3759;5099;5128;6347;4946;5262;4586;6005;11828;12423;12149;11343;9343;9801;9085;9275;8399;8808;5619;5615;..
OECD Asia Oceania;Memo: Primary and secondary oil;..;..;..;..;..;..;..;..;..;..;..;585894;642188;722614;708149;706183;726318;733136;778239;757060;716445;760168;693299;697387;711371;671228;712559;712464;818489;850075;1134069;1189509;1291317;1406588;1411494;1516712;1501730;1544410;1390113;1496847;1349123;1324636;1333067;1289883;1226456;1197534;1017185;900260;823839;732980;716861;694224;649494;710979;667294;634416;611010;586836;638420;563991;..
OECD Asia Oceania;Memo: Geothermal, solar/wind/other, heat, electricity;..;..;..;..;..;..;..;..;..;..;..;122069;142607;158728;175999;197686;213867;237851;252668;269216;288573;312561;444407;486973;518660;552317;574588;628412;671088;728780;709810;778850;832955;897521;1011315;1091473;1161386;1228049;1317740;1391181;1514120;1541791;1648508;1689369;1787574;1866673;1915430;2024886;2059406;2042992;2095511;2083827;2066919;2080064;2073865;2065858;2127490;2147711;2135185;2127844;..
OECD Europe;Coal and coal products;..;..;..;..;..;..;..;..;..;..;..;616962;644973;645337;625009;593035;612824;598831;615758;647712;716259;675787;704154;678846;728037;765857;748849;806642;749812;663842;582180;459326;331508;296164;210155;191296;165594;145562;108084;93608;81709;68361;77597;77738;81828;58397;68272;68188;212238;243092;236975;214840;233039;192691;191645;203943;193068;196759;117912;154657;..
