;TIME;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
OECD Asia Oceania;Memo: Coal, peat and oil shale;..;..;..;..;..;..;..;..;..;..;..;30189;24113;9749;7988;2390;1134;442;311;241;315;276;253;797;3347;3036;2957;3335;3109;3425;3122;3336;3560;3688;3685;3764;3752;4045;3964;3803;3805;4713;2530;3449;3930;7696;6657;7120;7695;7430;3998;2866;2446;38;43;68;40;40;40;40;..
OECD Asia Oceania;Memo: Primary and secondary oil;..;..;..;..;..;..;..;..;..;..;..;2091946;2178614;2421462;2464672;2576770;2700870;2882494;3083699;3249532;3258210;3176561;3147861;3252751;3369427;3443539;3594190;3760350;3981547;4255959;4664523;4859999;5039855;5235720;5496585;5783185;5966056;6056706;5864193;6025955;6155990;6220629;6274133;6283839;6332552;6238671;6215493;6190589;6042479;5953586;6042666;5963594;5988036;5999856;5937396;6060571;6093221;6143216;6102778;6117324;..
OECD Asia Oceania;Memo: Geothermal, solar/wind/other, heat, electricity;..;..;..;..;..;..;..;..;..;..;..;44269;47963;50609;51566;53784;56200;57211;58198;59465;59569;60782;61794;63349;63295;65639;67543;69494;73955;78124;70887;74839;75200;76895;78487;80693;81073;81691;81172;82003;82865;83477;82877;86713;88828;90090;89592;90381;89782;88411;87006;86061;86635;87822;87247;92133;95111;94972;95636;97261;..
OECD Europe;Coal and coal products;..;..;..;..;..;..;..;..;..;..;..;347045;311180;286937;261974;225801;192675;164682;143948;120597;106336;93068;79767;75582;66289;56328;44238;36767;23048;15525;8945;6453;4942;4166;747;605;733;674;461;372;436;1298;1255;242;187;351;617;608;610;581;582;467;497;442;437;440;496;504;489;472;..
OECD Europe;Peat and peat products;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..
OECD Europe;Oil shale and oil sands;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..
OECD Europe;Crude, NGL and feedstocks;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..
OECD Europe;Oil products;..;..;..;..;..;..;..;..;..;..;..;5977859;6376728;6846293;6712523;7017158;7406668;7741974;8164162;8428754;8428775;8313451;8376811;8519862;8771525;8880424;9333777;9718861;10248280;10602185;11007105;11178818;11454388;11622527;11676967;11837178;12193994;12323348;12674111;13005672;12995134;13089466;13229665;13379606;13643521;13640220;13874538;14065992;13665072;13237027;13123924;13010581;12662753;12657614;12809628;13181955;13535497;13734736;13705908;13747169;..
OECD Europe;Natural gas;..;..;..;..;..;..;..;..;..;..;..;5339;5890;6555;8519;11806;13677;13747;12772;14410;23776;23960;22012;22343;23725;23512;24595;25406;24759;26029;14959;15045;18636;18688;16807;17878;21149;22385;23338;25259;29851;61932;56553;99717;110369;109014;104979;110060;116144;105039;114611;128328;119961;137535;136337;138128;145383;150793;164725;171310;..
OECD Europe;Nuclear;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..
